"rras_nome","pop_rras","obitos_fetais","perc_fd_total","taxa_mortalidade_fetal_1000_lv","nascidos_vivos","perc_lv_total","taxa_lv_1000_pop","prematuros_lv","perc_prematuridade_lv"
"RRAS 1",2725209,157,4.81,5.99,26229,5.4,9.62,2989,11.4
"RRAS 2",3106798,358,10.96,9.74,36739,7.56,11.83,4478,12.19
"RRAS 3",655305,65,1.99,8.65,7516,1.55,11.47,917,12.2
"RRAS 4",1182458,145,4.44,10.65,13618,2.8,11.52,1522,11.18
"RRAS 5",2076368,163,4.99,6.54,24930,5.13,12.01,3308,13.27
"RRAS 6",12200180,777,23.79,6.12,127062,26.15,10.41,13908,10.95
"RRAS 7",2125381,196,6,8.85,22144,4.56,10.42,2476,11.18
"RRAS 8",2629905,170,5.21,5.69,29867,6.15,11.36,3463,11.59
"RRAS 9",1742853,157,4.81,8.32,18861,3.88,10.82,2469,13.09
"RRAS 10",1104345,86,2.63,7.72,11146,2.29,10.09,1370,12.29
"RRAS 11",745019,47,1.44,6.13,7662,1.58,10.28,932,12.16
"RRAS 12",2404960,113,3.46,5.07,22276,4.58,9.26,2763,12.4
"RRAS 13",2594773,163,4.99,6.1,26701,5.49,10.29,3192,11.95
"RRAS 14",1591577,113,3.46,6.82,16580,3.41,10.42,1934,11.66
"RRAS 15",4185989,232,7.1,5.45,42570,8.76,10.17,5274,12.39
"RRAS 16",1398812,97,2.97,6.1,15894,3.27,11.36,1991,12.53
"RRAS 17",2557857,162,4.96,6.04,26804,5.52,10.48,3358,12.53
"RRAS 18",997148,65,1.99,6.97,9323,1.92,9.35,1208,12.96
