"variavel","desfecho","teste","estatistica","gl","valor_p"
"idademae_categorico","Óbito fetal","Log-rank",47.0095305095436,2,6.19455597927754e-11
"idademae_categorico","Nascimento vivo","Log-rank",5756.23670586431,2,0
"sexo","Óbito fetal","Log-rank",6.76839661226493,1,0.0092786158337671
"sexo","Nascimento vivo","Log-rank",109.513704297533,1,0
"escmae2010","Óbito fetal","Log-rank",342.343834452412,2,0
"escmae2010","Nascimento vivo","Log-rank",2159.33295599554,2,0
"qtdfilvivo_categorico","Óbito fetal","Log-rank",1.55854561754499,1,0.21187829693148
"qtdfilvivo_categorico","Nascimento vivo","Log-rank",1113.3255553752,1,0
"qtdfilmort_categorico","Óbito fetal","Log-rank",764.957748048193,1,0
"qtdfilmort_categorico","Nascimento vivo","Log-rank",1268.81299424165,1,0
"gravidez","Óbito fetal","Log-rank",459.687232937688,1,0
"gravidez","Nascimento vivo","Log-rank",49926.5790653032,1,0
"parto","Óbito fetal","Log-rank",1334.47984139694,1,0
"parto","Nascimento vivo","Log-rank",4114.64556507513,1,0
"peso_categorico","Óbito fetal","Log-rank",24946.6971072172,2,0
"peso_categorico","Nascimento vivo","Log-rank",136886.920551201,2,0
"lococornasc","Óbito fetal","Log-rank",286.762925242336,1,0
"lococornasc","Nascimento vivo","Log-rank",39.4580909048086,1,3.3517610908973e-10
"idademae_categorico","Óbito fetal","Gray",40.3587497931166,2,1.72269676301795e-09
"idademae_categorico","Nascimento vivo","Gray",4500142.89624889,2,0
"sexo","Óbito fetal","Gray",6.14090035352191,1,0.0132090040327619
"sexo","Nascimento vivo","Gray",750286.859880882,1,0
"escmae2010","Óbito fetal","Gray",343.610401041085,2,0
"escmae2010","Nascimento vivo","Gray",1702884.1002699,2,0
"qtdfilvivo_categorico","Óbito fetal","Gray",2.09318790392818,1,0.147957045804317
"qtdfilvivo_categorico","Nascimento vivo","Gray",443510.771969899,1,0
"qtdfilmort_categorico","Óbito fetal","Gray",736.068505702503,1,0
"qtdfilmort_categorico","Nascimento vivo","Gray",3306460.39573783,1,0
"gravidez","Óbito fetal","Gray",301.412133629169,1,0
"gravidez","Nascimento vivo","Gray",-2361.28856543787,1,1
"parto","Óbito fetal","Gray",1376.28545622896,1,0
"parto","Nascimento vivo","Gray",314658.482795003,1,0
"peso_categorico","Óbito fetal","Gray",18758.5264246612,2,0
"peso_categorico","Nascimento vivo","Gray",5204921.35879416,2,0
"lococornasc","Óbito fetal","Gray",287.974010292754,1,0
"lococornasc","Nascimento vivo","Gray",71669913.9553927,1,0
